Loại hình nhà ở,Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
Chung cư,123 m²,,"16,5 tỷ",,3 phòng,2 phòng,,,,,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,107 m²,,10 tỷ,,2 phòng,2 phòng,,Đầy đủ,,,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,125 m²,,14 tỷ,,3 phòng,2 phòng,,,,Đông - Nam,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,97 m²,,"9,6 tỷ",,2 phòng,2 phòng,,,,Đông - Nam,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,99 m²,,"10,5 tỷ",,2 phòng,2 phòng,,,,,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,60 m²,,"1,75 tỷ",,2 phòng,1 phòng,,,Đông,,,16/10/2023,15/11/2023,Tin thường,"Đường Cư xá Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh"
Chung cư,124 m²,,10 tỷ,,3 phòng,2 phòng,,Cơ bản,,,,16/10/2023,31/10/2023,Tin thường,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh"
Chung cư,93 m²,,"3,65 tỷ",,3 phòng,2 phòng,,Tặng nội thất dính tường.,,,,15/10/2023,30/10/2023,Tin thường,"Dự án Mỹ Phước, Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh"
Chung cư,89 m²,,"3,5 tỷ",,3 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,05/10/2023,04/11/2023,Tin thường,"Saigonland Apartment, 69, Đường D2, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,105 m²,,"3,6 tỷ",,2 phòng,,,,,,,15/10/2023,14/11/2023,Tin thường,"Dự án Đất Phương Nam, 241A Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh"
Chung cư,86 m²,,"6,2 tỷ",,2 phòng,2 phòng,,,,,,11/10/2023,10/11/2023,Tin thường,"Dự án Opal SaiGon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,66 m²,,"3,85 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,,14/10/2023,29/10/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,81 m²,,"2,75 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,13/10/2023,28/10/2023,Tin thường,"Dự án Chung cư Phú Đạt, Đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,110 m²,,9 tỷ,,3 phòng,2 phòng,Hợp đồng mua bán,Cơ bản chủ đầu tư,,,,29/09/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,188 m²,,"23,8 tỷ",,4 phòng,3 phòng,Hợp đồng mua bán,Cơ bản,,Đông,,13/10/2023,12/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,186 m²,,"26,5 tỷ",,4 phòng,,,Full nội thất.,,,,13/10/2023,12/11/2023,Tin thường,"The Landmark 81, 720A, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,155 m²,,16 tỷ,,4 phòng,3 phòng,,Nội thất cơ bản thoải mái decor.,,,,13/10/2023,12/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,140 m²,,17 tỷ,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,,Đông - Bắc,,13/10/2023,12/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,"44,2 m²",,"1,68 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,Bắc,,12/10/2023,11/11/2023,Tin thường,"Dự án Miếu Nổi, Đường Vũ Huy Tấn, Phường 3, Bình Thạnh, Hồ Chí Minh."
Chung cư,94 m²,,"3,9 tỷ",,3 phòng,3 phòng,Đang chờ sổ,,,,,12/10/2023,11/11/2023,Tin thường,"Dự án Soho Premier, Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,140 m²,,15 tỷ,,3 phòng,3 phòng,,Đầy đủ,,,,11/10/2023,10/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,82 m²,,"2,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Tây - Nam,,10/10/2023,09/11/2023,Tin thường,"Dự án Cửu Long, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh"
Chung cư,120 m²,,8 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Bắc,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,85 m²,,"5,9 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam,,05/10/2023,04/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,130 m²,,8 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,86 m²,,"4,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh"
Chung cư,120 m²,,8 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,77 m²,,4 tỷ,,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,,,,09/10/2023,08/11/2023,Tin thường,"Dự án Khu phức hợp 152 Điện Biên Phủ, Đường Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,72 m²,,"2,5 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,,,,,09/10/2023,08/11/2023,Tin thường,"Dự án Saigonres Plaza, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,"66,7 m²",,"3,7 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Tây - Bắc,Đông - Nam,,07/10/2023,06/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,61 m²,,"2,7 tỷ",,2 phòng,,Đang chờ sổ.,,,,,05/10/2023,04/11/2023,Tin thường,"Green Field, 686, Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,61 m²,,"2,7 tỷ",,2 phòng,,,,,,,05/10/2023,04/11/2023,Tin thường,"Green Field, 686, Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,45 m²,,"2,15 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,Tây,,05/10/2023,04/11/2023,Tin thường,"Phường 27, Bình Thạnh, Hồ Chí Minh"
Chung cư,90 m²,,"6,8 tỷ",,2 phòng,2 phòng,,,,,,05/10/2023,04/11/2023,Tin thường,"Opal SaiGon Pearl, 92, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,300 m²,,45 tỷ,,4 phòng,3 phòng,,,,,,03/10/2023,02/11/2023,Tin thường,"Dự án The Landmark 81, Đường Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,78 m²,,"9,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,03/10/2023,02/11/2023,Tin thường,"Dự án The Landmark 81, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,133 m²,,"18,5 tỷ",,3 phòng,2 phòng,,"Nội thất căn hộ: Hệ thống đèn chiếu sáng sang trọng, điều hòa âm trần, sàn gỗ, tủ âm tường, bếp, tủ bếp và các thiết bị vệ sinh cao cấp...",,,,03/10/2023,02/11/2023,Tin thường,"Dự án The Landmark 81, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,51 m²,,"4,1 tỷ",,1 phòng,,Sổ hồng.,Đầy đủ nội thất.,,,,02/10/2023,01/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,84 m²,,"6,3 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,02/10/2023,01/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,"98,3 m²",,"11,8 tỷ",,3 phòng,,,,Nam,,,19/10/2023,29/10/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,"54,4 m²",,3 tỷ,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,85 m²,,"5,1 tỷ",,2 phòng,2 phòng,,,,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,"98,3 m²",,"11,5 tỷ",,3 phòng,2 phòng,,,,,,18/10/2023,28/10/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,105 m²,,10 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,,Đông - Nam,,,05/10/2023,04/11/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,110 m²,,9 tỷ,,2 phòng,2 phòng,,,,,,18/10/2023,28/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,95 m²,,"3,6 tỷ",,2 phòng,2 phòng,,Nội thất sang trọng,,Tây - Nam,,09/10/2023,08/11/2023,Tin thường,"Dự án Chung cư Mỹ Đức, 220 Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh"
Chung cư,105 m²,,4 tỷ,,3 phòng,2 phòng,,Tặng nội thất đẹp,,,,09/10/2023,08/11/2023,Tin thường,"Dự án Chung cư Mỹ Đức, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh"
Chung cư,53 m²,,"2,35 tỷ",,1 phòng,1 phòng,,Tặng nội thất cơ bản,Tây - Nam,Đông - Bắc,,09/10/2023,08/11/2023,Tin thường,"Dự án Chung cư Mỹ Đức, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh"
Chung cư,102 m²,,"3,9 tỷ",,2 phòng,2 phòng,,Nội thất sang trọng,Đông - Bắc,Tây - Nam,,09/10/2023,08/11/2023,Tin thường,"Dự án Chung cư Mỹ Đức, 220 Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh"
Chung cư,80 m²,,"2,9 tỷ",,2 phòng,2 phòng,,"Nhà đẹp, rất thoáng mát. Nội thất đẹp.",,,,09/10/2023,08/11/2023,Tin thường,"Chung cư Mỹ Đức, 220, Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh"
Chung cư,50 m²,,9 tỷ,,1 phòng,1 phòng,,Đầy đủ,,,,27/10/2023,06/11/2023,Tin thường,"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,98 m²,,9 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,Đông - Nam,,26/10/2023,05/11/2023,Tin thường,"Dự án The Manor HCM, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,88 m²,,Thỏa thuận,,2 phòng,2 phòng,,,,,,17/10/2023,27/10/2023,Tin thường,"Dự án The Hyco4 Tower, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,130 m²,,Thỏa thuận,,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Đông - Nam,,,26/10/2023,25/11/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,52 m²,,"2,57 tỷ",,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,,17/10/2023,27/10/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,72 m²,,Thỏa thuận,,2 phòng,2 phòng,,,,,,26/10/2023,05/11/2023,Tin thường,"Saigonres Plaza, 188, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,67 m²,,"3,8 tỷ",,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Tây - Bắc,Đông - Nam,,24/10/2023,03/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,76 m²,,"2,6 tỷ",,2 phòng,2 phòng,,,,,,21/10/2023,20/11/2023,Tin thường,"Saigonres Plaza, 188, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,72 m²,,"3,9 tỷ",,2 phòng,,,,,,,15/10/2023,14/11/2023,Tin thường,"Wilton Tower, 71/3, Đường D1, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,86 m²,,5 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,75 m²,,4 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh"
Chung cư,55 m²,,"3,2 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,120 m²,,8 tỷ,,3 phòng,2 phòng,,"Nội thất căn hộ: Hệ thống đèn chiếu sáng sang trọng, điều hòa âm trần, sàn gỗ, tủ âm tường, bếp, tủ bếp và các thiết bị vệ sinh cao cấp.",,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,73 m²,,"3,5 tỷ",,2 phòng,2 phòng,,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,66 m²,,"3,8 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,19/10/2023,29/10/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,67 m²,,"3,79 tỷ",,2 phòng,2 phòng,,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,86 m²,,"3,4 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,15/10/2023,14/11/2023,Tin thường,"Dự án The Hyco4 Tower, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,188 m²,,24 tỷ,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,03/10/2023,02/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,72 m²,,2 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Green Field, Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
Chung cư,80 m²,,"3,59 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Akari City Nam Long, Quận Bình Tân, Hồ Chí Minh"
Chung cư,76 m²,,"2,6 tỷ",,2 phòng,2 phòng,,,,,,11/10/2023,10/11/2023,Tin thường,"Saigonres Plaza, 79 - 81, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Chung cư,50 m²,,9 triệu/tháng,,1 phòng,1 phòng,,Đầy đủ.,,,,27/10/2023,06/11/2023,Tin thường,"211, Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,75 m²,,4 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Chung cư,75 m²,,"2,15 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,13/10/2023,28/10/2023,Tin thường,"Dự án Nam An City, Đường Hồ Văn Tắng, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
Chung cư,1.013 m²,,"14,5 tỷ",,60 phòng,60 phòng,,,,,,20/06/2023,30/06/2023,Tin thường,"Đường Hồ Thị Bưng, Xã Tân Thạnh Tây, Củ Chi, Hồ Chí Minh"
Chung cư,"97,6 m²",,"4,3 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Đông,,25/10/2023,04/11/2023,Tin thường,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
Chung cư,74 m²,,"3,6 tỷ",,2 phòng,2 phòng,Đã có sổ.,"Nội thất cơ bản, bếp, tủ...",,,,23/10/2023,30/10/2023,Tin VIP Vàng,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh."
Chung cư,"60,6 m²",,"2,1 tỷ",,2 phòng,2 phòng,,,,,,26/10/2023,10/11/2023,Tin VIP Bạc,"Dự án 8X Thái An, Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,92 m²,,"4,1 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,25/10/2023,01/11/2023,Tin VIP Bạc,"Dự án Hà Đô Nguyễn Văn Công, Đường Nguyễn Văn Công, Phường 3, Gò Vấp, Hồ Chí Minh"
Chung cư,78 m²,,"3,3 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Đông - Nam,,25/10/2023,04/11/2023,Tin VIP Bạc,"CityLand Park Hills, 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,61 m²,,"2,7 tỷ",,2 phòng,1 phòng,,"Khuyến mãi các đồ trong nhà như: 1 nóng lạnh, 2 máy lạnh, 1 tủ quần áo, 1 bàn làm việc, tủ bếp bàn bếp xịn, đèn trần, đèn trang trí, hệ thống chiếu sáng cơ bản.",,,,18/10/2023,28/10/2023,Tin VIP Bạc,"Dự án Z751 Hà Đô, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,86 m²,,"3,5 tỷ",,2 phòng,,Sổ đỏ/ Sổ hồng.,,,,,13/10/2023,28/10/2023,Tin VIP Bạc,"Dự án CityLand Park Hills, 18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,117 m²,,"4,8 tỷ",,3 phòng,,,,,,,15/10/2023,14/11/2023,Tin thường,"Dự án Sunny Plaza, Đường Phạm Văn Đồng, Phường 3, Gò Vấp, Hồ Chí Minh"
Chung cư,52 m²,,"1,45 tỷ",,2 phòng,1 phòng,Hợp đồng mua bán.,Đầy đủ.,,,,02/10/2023,01/11/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,83 m²,,"3,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,10/10/2023,09/11/2023,Tin thường,"Dự án CityLand Park Hills, 18C Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,78 m²,,"3,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,14/10/2023,29/10/2023,Tin thường,"Dự án CityLand Park Hills, 18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,76 m²,,"3,7 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Nam,,28/09/2023,28/10/2023,Tin thường,"CityLand Park Hills, 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,77 m²,,"3,6 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,07/10/2023,06/11/2023,Tin thường,"Dự án CityLand Park Hills, 18C Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,60 m²,,"1,85 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,16/10/2023,15/11/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,78 m²,,"3,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,11/10/2023,10/11/2023,Tin thường,"Dự án CityLand Park Hills, 18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,76 m²,,"3,6 tỷ",,2 phòng,2 phòng,,,Bắc,,,26/10/2023,05/11/2023,Tin thường,"Dự án CityLand Park Hills, 18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,55 m²,,"1,55 tỷ",,2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,,,,02/10/2023,01/11/2023,Tin thường,"Dự án I-Home 1, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,69 m²,,"1,8 tỷ",,2 phòng,2 phòng,,,,,,26/10/2023,25/11/2023,Tin thường,"Dự án Dream Home, Đường Số 59, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,60 m²,,"1,9 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,16/10/2023,15/11/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,88 m²,,3 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án The Splendor, Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh"
Chung cư,68 m²,,2 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,02/10/2023,01/11/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Gò Vấp, Hồ Chí Minh"
Chung cư,75 m²,,4 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,19/10/2023,29/10/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,75 m²,,"3,8 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,26/10/2023,05/11/2023,Tin thường,"CityLand Park Hills, 18C, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,53 m²,,"1,9 tỷ",,,,,,,,,19/10/2023,29/10/2023,Tin thường,"Dự án Osimi Tower, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
Chung cư,52 m²,,3 tỷ,,1 phòng,,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
Chung cư,74 m²,,"2,6 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Plaza Nguyên Hồng, Đường Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh"
Chung cư,53 m²,,"1,55 tỷ",,2 phòng,1 phòng,Hợp đồng mua bán,,,,,16/10/2023,15/11/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
Chung cư,72 m²,,"3,75 tỷ",,2 phòng,2 phòng,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh."
Chung cư,70 m²,,"3,8 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Samland Airport, 86 Đường Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh"
Chung cư,75 m²,,"3,65 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,23/10/2023,02/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
