Loại hình nhà ở,Diện tích (m²),Chiều rộng (m),Chiều dài (m),Mặt tiền (m),Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào (m),Ngày đăng,Ngày hết hạn,Loại tin,Tên dự án,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Tỉnh thành,Mức giá (tỷ)
"Nhà ngõ, hẻm",34,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Cách Mạng Tháng 8,Phường 15,Quận 10,TP Hồ Chí Minh,4.1
Nhà biệt thự,60,,,,3,4,4,Đã có sổ,,Đông Bắc,,,10/28/2023,,,,Nguyễn Ảnh Thủ,Phường Tân Chánh Hiệp,Quận 12,TP Hồ Chí Minh,5.5
Nhà mặt phố,60,,,,5,5,6,Đã có sổ,Bàn giao thô,,,,10/28/2023,,,,Nguyễn Bỉnh Khiêm,Phường Đa Kao,Quận 1,TP Hồ Chí Minh,19
Nhà biệt thự,152,,,,4,,Nhiều hơn 6 phòng,Đã có sổ,,Đông,,,10/28/2023,,,,Đường Hiệp Bình,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,15.5
"Nhà ngõ, hẻm",35,,,,2,3,3,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Lê Văn Phan,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,3
"Nhà ngõ, hẻm",51.87,,,,2,3,3,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Đường số 21,Phường 8,Gò Vấp,TP Hồ Chí Minh,2.57
"Nhà ngõ, hẻm",49.99,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Phú Thọ Hoà,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,2.18
Nhà phố liền kề,80,5,16,,,4,4,,,,,,10/28/2023,,,,Đường Vành Đai Trong,Phường Phú Hữu,TP Thủ Đức,TP Hồ Chí Minh,8.8
Nhà mặt phố,205,,,,,5,,,,,,,10/28/2023,,,,Đường Phan Đăng Lưu,Phường 7,Phú Nhuận,TP Hồ Chí Minh,18
Nhà biệt thự,210,8,,,,5,5,Đã có sổ,,Tây,,,10/28/2023,,,,Liên Phường,Phường Phú Hữu,TP Thủ Đức,TP Hồ Chí Minh,29
Nhà mặt phố,79,,,,3,3,3,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Phạm Văn Đồng,Phường Linh Tây,TP Thủ Đức,TP Hồ Chí Minh,4
Nhà mặt phố,91,5,,,,2,1,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Nguyễn Văn Bứa,Xã Xuân Thới Sơn,Hóc Môn,TP Hồ Chí Minh,0.15
"Nhà ngõ, hẻm",70.8,,,,2,3,1,Đã có sổ,,Nam,,,10/28/2023,,,,Đường Phạm thế hiển,Phường 5,Quận 8,TP Hồ Chí Minh,2.95
Nhà mặt phố,207.4,,,,5,7,5,Đã có sổ,,Đông Bắc,,,10/28/2023,,,,Trung Mỹ Tây 18,Phường Trung Mỹ Tây,Quận 12,TP Hồ Chí Minh,5.55
"Nhà ngõ, hẻm",16,4,4,,,3,2,,,Bắc,,,10/28/2023,,,,Đường 45,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,1.35
"Nhà ngõ, hẻm",75,,,,,2,,,,,,,10/28/2023,,,,Nguyễn Văn Bứa,Xã Xuân Thới Sơn,Hóc Môn,TP Hồ Chí Minh,0.32
"Nhà ngõ, hẻm",50,,,,3,3,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường Hậu Giang,Phường 10,Quận 6,TP Hồ Chí Minh,5.3
"Nhà ngõ, hẻm",75,5,15,,4,4,,,,,,,10/28/2023,,,,Ba Tháng Hai,Phường 11,Quận 10,TP Hồ Chí Minh,10.5
"Nhà ngõ, hẻm",50,,,,2,2,2,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Quang Trung,Phường 10,Gò Vấp,TP Hồ Chí Minh,5.05
Nhà mặt phố,48,4,12,,1,2,,,,,,,10/28/2023,,,,Nguyễn Văn Bứa,Xã Xuân Thới Sơn,Hóc Môn,TP Hồ Chí Minh,0.31
Nhà mặt phố,25,,,,2,2,2,Đã có sổ,,Tây,,,10/28/2023,,,,Lê Trọng Tấn,Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,3.59
Nhà phố liền kề,79,,,,5,4,4,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Lê Văn Quới,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,5.99
"Nhà ngõ, hẻm",35,,,,2,3,2,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Vườn Lài,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,3.59
Nhà phố liền kề,130,7,18.5,,,3,3,Đã có sổ,,,,,10/28/2023,,,,Phú Hữu,Phường Phú Hữu,TP Thủ Đức,TP Hồ Chí Minh,10.5
"Nhà ngõ, hẻm",60,,,,,6,,Đã có sổ,,,,,10/28/2023,,,,Tân Thành,Phường Hòa Thạnh,Tân Phú,TP Hồ Chí Minh,3.8
Nhà phố liền kề,76,,,,3,4,5,Đã có sổ,,Bắc,,,10/28/2023,,,,Tân Chánh Hiệp 17,Phường Tân Chánh Hiệp,Quận 12,TP Hồ Chí Minh,6.95
"Nhà ngõ, hẻm",50.72,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường Nguyễn Gia Trí,Phường 11,Bình Thạnh,TP Hồ Chí Minh,2.39
"Nhà ngõ, hẻm",56.5,,,,2,2,2,Đã có sổ,,Tây Nam,,,10/28/2023,,,,Thạnh Xuân 24,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,3.48
"Nhà ngõ, hẻm",30,3,10,,,2,1,,,,,,10/28/2023,,,,Bình Quới,Phường 27,Bình Thạnh,TP Hồ Chí Minh,1.3
"Nhà ngõ, hẻm",53,,,,5,4,5,Đã có sổ,,Đông Nam,,,10/28/2023,,,,Nguyễn Thái Sơn,Phường 5,Gò Vấp,TP Hồ Chí Minh,6.8
Nhà mặt phố,142,,,,3,,Nhiều hơn 6 phòng,Đã có sổ,,Tây Bắc,,,10/28/2023,,,,Tô Ngọc Vân,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,7.5
"Nhà ngõ, hẻm",68,,,,4,4,5,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường Hiệp Bình,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,6.8
Nhà mặt phố,64,4,,,,3,2,Đã có sổ,,Tây Bắc,,,10/28/2023,,,,Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,5.4
"Nhà ngõ, hẻm",78,,,,,3,,Đã có sổ,,,,,10/28/2023,,,,Nguyễn Thị Thập,Phường Tân Phú,Quận 7,TP Hồ Chí Minh,5.5
"Nhà ngõ, hẻm",68,,,,4,6,6,Đã có sổ,,Nam,,,10/28/2023,,,,Đường Lê Văn Q,Phường Bình Trị Đông,Bình Tân,TP Hồ Chí Minh,4.65
"Nhà ngõ, hẻm",29,,,,2,2,2,Đã có sổ,,Đông Nam,,,10/28/2023,,,,Đặng Nhữ Lâm,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,2.88
Nhà phố liền kề,75,5,15,,,3,3,Đã có sổ,,,,,10/28/2023,,,,Phú Hữu,Phường Phú Hữu,TP Thủ Đức,TP Hồ Chí Minh,7.8
"Nhà ngõ, hẻm",35,,,,2,2,2,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Huỳnh Khương An,Phường 5,Gò Vấp,TP Hồ Chí Minh,3.7
"Nhà ngõ, hẻm",17.5,,,,2,2,2,Đã có sổ,,Đông,,,10/28/2023,,,,"314/27, Đường Âu Dương Lân",Phường 3,Quận 8,TP Hồ Chí Minh,2.38
"Nhà ngõ, hẻm",55,37,,,5,5,,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,"181/22 Nghĩa Phát, Nghĩa Phát",Phường 6,Tân Bình,TP Hồ Chí Minh,7
"Nhà ngõ, hẻm",41,,,,4,4,,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường số 18,Phường 8,Gò Vấp,TP Hồ Chí Minh,5.7
"Nhà ngõ, hẻm",37.7,,,,,2,2,Đã có sổ,,,,,10/28/2023,,,,Bông Sao,Phường 5,Quận 8,TP Hồ Chí Minh,3.35
"Nhà ngõ, hẻm",56.25,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường số 9,Phường 8,Gò Vấp,TP Hồ Chí Minh,2.55
Nhà mặt phố,62,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Lê Đức Thọ,Phường 16,Gò Vấp,TP Hồ Chí Minh,5
Nhà mặt phố,49,3.7,,,4,5,4,,Có nội thất,,,,10/28/2023,,,,C12,Phường 13,Tân Bình,TP Hồ Chí Minh,8.1
"Nhà ngõ, hẻm",72,,,,,3,4,Đã có sổ,,,,,10/28/2023,,,,Đỗ Xuân Hợp,Phường Phước Long B,TP Thủ Đức,TP Hồ Chí Minh,5.8
Nhà mặt phố,30,3,,,,,Nhiều hơn 6 phòng,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường Nguyễn Thị Ly,Xã Xuân Thới Sơn,Hóc Môn,TP Hồ Chí Minh,0.585
"Nhà ngõ, hẻm",50,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Bùi Đình Túy,Phường 12,Bình Thạnh,TP Hồ Chí Minh,2.25
"Nhà ngõ, hẻm",41,,,,,3,,,,,,,10/28/2023,,,,Khuông Việt,Phường Phú Trung,Tân Phú,TP Hồ Chí Minh,5.9
"Nhà ngõ, hẻm",56,4,14,,,4,3,Đã có sổ,,,,,10/28/2023,,,,HUỲNH TẤN PHÁT,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,4
"Nhà ngõ, hẻm",71,,,,4,4,5,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Xô Viết Nghệ Tĩnh,Phường 26,Bình Thạnh,TP Hồ Chí Minh,8.9
Nhà mặt phố,80,,,,4,6,4,Đã có sổ,,Đông Bắc,,,10/28/2023,,,,"481, Chiến Lược",Phường Tân Tạo,Bình Tân,TP Hồ Chí Minh,6.2
"Nhà ngõ, hẻm",200,9,,,,7,Nhiều hơn 6 phòng,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Hiệp Thành 45,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,15.5
"Nhà ngõ, hẻm",48,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Đường Phan Văn Trị,Phường 11,Bình Thạnh,TP Hồ Chí Minh,5.5
"Nhà ngõ, hẻm",44.2,,,,2,3,2,Đã có sổ,,Bắc,,,10/28/2023,,,,Ht17,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,2.73
Nhà phố liền kề,48,,,,3,3,2,Đã có sổ,,Tây Bắc,,,10/28/2023,,,,"Hẻm 354, Phan Văn Trị",Phường 11,Bình Thạnh,TP Hồ Chí Minh,9.58
Nhà phố liền kề,177,,,,5,4,4,Đã có sổ,,Bắc,,,10/28/2023,,,,Đường Số 8,Phường 11,Gò Vấp,TP Hồ Chí Minh,7.6
"Nhà ngõ, hẻm",52,4,,,2,2,,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Tân Hoà Đông,Phường Bình Trị Đông,Bình Tân,TP Hồ Chí Minh,3.5
Nhà mặt phố,64,4,16,,4,4,5,,,,,,10/28/2023,,,,Bình Phú 2,Phường 10,Quận 6,TP Hồ Chí Minh,8
"Nhà ngõ, hẻm",68,,,,3,3,3,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Phạm Văn Chiêu,Phường 14,Gò Vấp,TP Hồ Chí Minh,4.69
Nhà phố liền kề,143,4.8,,,,4,4,,Có nội thất,Đông Nam,,,10/28/2023,,,,Huỳnh Tấn Phát,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,5.2
"Nhà ngõ, hẻm",30,,,,2,4,2,Giấy tờ khác,,Đông,,,10/28/2023,,,,Thới An 20,Phường Thới An,Quận 12,TP Hồ Chí Minh,1.58
"Nhà ngõ, hẻm",75,5,15,,,4,4,Đã có sổ,,,,,10/28/2023,,,,Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,4.99
"Nhà ngõ, hẻm",61,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Trần Thị Bốc,Xã Trung Chánh,Hóc Môn,TP Hồ Chí Minh,2.85
Nhà biệt thự,88,,,,4,4,4,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Lê Đức Thọ,Phường 15,Gò Vấp,TP Hồ Chí Minh,8.8
"Nhà ngõ, hẻm",46,,,,3,3,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,quang trung,Phường 11,Gò Vấp,TP Hồ Chí Minh,4.75
"Nhà ngõ, hẻm",100,,,,4,6,5,Đã có sổ,,Tây,,,10/28/2023,,,,Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,4.65
"Nhà ngõ, hẻm",62,,,,,4,,,,,,,10/28/2023,,,,Đường Lê Văn Thọ,Phường 9,Gò Vấp,TP Hồ Chí Minh,5.7
"Nhà ngõ, hẻm",88,4.5,20,,,3,,,,,,,10/28/2023,,,,Lê Đức Thọ,Phường 16,Gò Vấp,TP Hồ Chí Minh,5.95
"Nhà ngõ, hẻm",44,4,11,,,2,2,,,,,,10/28/2023,,,,Quang Trung,Phường 8,Gò Vấp,TP Hồ Chí Minh,3.9
Nhà mặt phố,193,45,45,,,2,1,,,,,,10/28/2023,,,,Đường Số 112,Xã Tân Thạnh Đông,Củ Chi,TP Hồ Chí Minh,2.25
"Nhà ngõ, hẻm",45,,,,,3,,,,,,,10/28/2023,,,,Nguyễn Khoái,Phường 2,Quận 4,TP Hồ Chí Minh,3.2
"Nhà ngõ, hẻm",12,,,,2,1,1,Đã có sổ,,Bắc,,,10/28/2023,,,,Hẻm BÌNH TIÊN,Phường 8,Quận 6,TP Hồ Chí Minh,1.9
"Nhà ngõ, hẻm",65,5,,,1,3,2,Đã có sổ,,,,,11/05/2023,,,,Thống Nhất,Phường Tân Thành,Tân Phú,TP Hồ Chí Minh,2.15
"Nhà ngõ, hẻm",56,,,,2,3,2,Đã có sổ,,Nam,,,10/18/2023,,,,Đường Tân Hòa Đông,Phường 14,Quận 6,TP Hồ Chí Minh,5.6
Nhà mặt phố,73,,,,2,3,3,Đã có sổ,Có nội thất,,,,10/23/2023,,,,Đường Số 19,Phường Linh Chiểu,TP Thủ Đức,TP Hồ Chí Minh,2.65
Nhà mặt phố,95,,,,2,2,2,Đã có sổ,,Bắc,,,09/23/2023,,,,Ba Đình,Phường 10,Quận 8,TP Hồ Chí Minh,7.9
"Nhà ngõ, hẻm",58,5,,,1,2,2,Đã có sổ,,,,,09/28/2023,,,,Đường Lê Đức Thọ,Phường 17,Gò Vấp,TP Hồ Chí Minh,2.07
"Nhà ngõ, hẻm",48,4,12,,3,4,3,,,,,,10/15/2023,,,,Liên khu 5-6,Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,3
"Nhà ngõ, hẻm",24,4,6,,,2,,,,,,,10/15/2023,,,,Tx12,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,0.75
"Nhà ngõ, hẻm",48,4,,,1,3,3,Đã có sổ,,,,,09/29/2023,,,,Hẻm 688 Tân Kỳ Tân Quý,Phường Bình Hưng Hòa,Bình Tân,TP Hồ Chí Minh,4.18
"Nhà ngõ, hẻm",70,,,,,2,,,,,,,09/25/2023,,,,Lê Đức Thọ,Phường 16,Gò Vấp,TP Hồ Chí Minh,3.8
"Nhà ngõ, hẻm",15,,,,2,2,,,,,,,09/25/2023,,,,Phan Chu Trinh,Phường 12,Bình Thạnh,TP Hồ Chí Minh,1.79
"Nhà ngõ, hẻm",64,4,16,,,3,2,Đã có sổ,,,,,10/20/2023,,,,Bông Sao,Phường 5,Quận 8,TP Hồ Chí Minh,0.98
Nhà mặt phố,500,11,44,,,1,,Đã có sổ,,,,,10/23/2023,,,,Quang Trung,Phường 8,Gò Vấp,TP Hồ Chí Minh,54
"Nhà ngõ, hẻm",64,,,,4,5,5,Đã có sổ,,Đông Nam,,,11/02/2023,,,,205 Phạm Văn Chiêu,Phường 14,Gò Vấp,TP Hồ Chí Minh,7.5
Nhà mặt phố,60,,,,1,3,3,Đã có sổ,Không có nội thất,,,,10/23/2023,,,,Tạ Quang Bửu,Phường 4,Quận 8,TP Hồ Chí Minh,1.01
"Nhà ngõ, hẻm",70,4,,,4,5,5,Đã có sổ,,,,,09/29/2023,,,,LŨY BÁN BÍCH,Phường Tân Thới Hòa,Tân Phú,TP Hồ Chí Minh,7.45
"Nhà ngõ, hẻm",65,,,,2,3,2,Đã có sổ,Có nội thất,,,,10/27/2023,,,,Đường Cao Thắng,Phường 12,Quận 10,TP Hồ Chí Minh,1.62
Nhà mặt phố,85.6,,,,,2,1,,,,,,10/26/2023,,,,Đường 567,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,5.05
Nhà mặt phố,64,,,,2,3,4,Đã có sổ,Có nội thất,,,,10/03/2023,,,,Đường Hiệp Bình,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,1.19
"Nhà ngõ, hẻm",65,,,,2,3,2,Đã có sổ,Có nội thất,,,,11/13/2023,,,,Đường Tô Hiến Thành,Phường 12,Quận 10,TP Hồ Chí Minh,6.8
"Nhà ngõ, hẻm",80,,,,3,4,4,Đã có sổ,Có nội thất,,,,11/05/2023,,,,Đường Nguyễn Oanh,Phường 6,Gò Vấp,TP Hồ Chí Minh,6.9
"Nhà ngõ, hẻm",45,,,,3,3,3,Đã có sổ,Có nội thất,,,,10/24/2023,,,,Đường Huỳnh Văn Bánh,Phường 17,Phú Nhuận,TP Hồ Chí Minh,4.8
"Nhà ngõ, hẻm",66,5.2,,,2,4,4,Đã có sổ,,,,,10/18/2023,,,,Phan Xích Long,Phường 3,Phú Nhuận,TP Hồ Chí Minh,8.3
"Nhà ngõ, hẻm",48,4,12,,4,4,3,,,,,,10/23/2023,,,,Hẻm 24 Miếu Gò Xoài,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,4.48
"Nhà ngõ, hẻm",72,4,18,,2,3,,Đã có sổ,,,,,09/29/2023,,,,Đường Tô Hiệu,Phường Hiệp Tân,Tân Phú,TP Hồ Chí Minh,5.5
"Nhà ngõ, hẻm",48,,,,5,7,Nhiều hơn 6 phòng,Đã có sổ,,Đông Bắc,,,09/23/2023,,,,Hẻm 1416 Lê Đức Thọ,Phường 11,Gò Vấp,TP Hồ Chí Minh,6.2
"Nhà ngõ, hẻm",91,,,,5,5,6,Đã có sổ,Có nội thất,,,,09/28/2023,,,,Huỳnh Văn Nghệ,Phường 15,Tân Bình,TP Hồ Chí Minh,8.3
"Nhà ngõ, hẻm",48,,,,3,3,3,Đã có sổ,Có nội thất,,,,10/15/2023,,,,Nguyễn Sơn,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,5.7
"Nhà ngõ, hẻm",21,3,7,,,2,,,,,,,09/29/2023,,,,Tx18,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,0.8
"Nhà ngõ, hẻm",69,5,14,,,3,3,Đã có sổ,,,,,09/25/2023,,,,Vườn Lài,Phường An Phú Đông,Quận 12,TP Hồ Chí Minh,1.17
"Nhà ngõ, hẻm",15.7,,,,1,2,2,Đã có sổ,,Bắc,,,10/20/2023,,,,Hẻm 141 Huỳnh Văn Nghệ,Phường 12,Gò Vấp,TP Hồ Chí Minh,2.95
"Nhà ngõ, hẻm",40,,,,2,3,2,Đã có sổ,Có nội thất,,,,10/23/2023,,,,Nguyễn Văn Nghi,Phường 7,Gò Vấp,TP Hồ Chí Minh,3.35
"Nhà ngõ, hẻm",64,,,,4,4,4,Đã có sổ,Có nội thất,,,,11/02/2023,,,,Đường Nguyễn Sơn,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,5.95
Nhà mặt phố,60,,,,2,3,4,Đã có sổ,Có nội thất,,,,09/29/2023,,,,Nguyễn Đình Chính,Phường 15,Phú Nhuận,TP Hồ Chí Minh,1.24
"Nhà ngõ, hẻm",125,6,24,,,,,,,,,,09/29/2023,,,,Phan Huy ích,Phường 15,Tân Bình,TP Hồ Chí Minh,12.5
"Nhà ngõ, hẻm",33.9,8.2,,,3,3,3,,,Tây Bắc,,,10/26/2023,,,,"125/107/42, Tám Danh",Phường 4,Quận 8,TP Hồ Chí Minh,4.6
"Nhà ngõ, hẻm",40,,,,3,3,2,Đã có sổ,Có nội thất,,,,11/04/2023,,,,Nguyễn Đình Chính,Phường 15,Phú Nhuận,TP Hồ Chí Minh,2.95
"Nhà ngõ, hẻm",20,,,,2,2,2,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Huỳnh Tấn Phát,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,1.65
Nhà phố liền kề,60,4,,,,3,2,Đã có sổ,Không có nội thất,,,,11/13/2023,,,,Tân Túc,Thị trấn Tân Túc,Bình Chánh,TP Hồ Chí Minh,0.885
Nhà mặt phố,85,,,,3,4,5,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Huỳnh Tấn Phát,Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,7.69
"Nhà ngõ, hẻm",80,4.3,,,1,2,1,,,Tây Bắc,,,10/24/2023,,,,Đường Tx14,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,1.75
Nhà mặt phố,161,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/24/2023,,,,Tô Ngọc Vân,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,6.5
"Nhà ngõ, hẻm",24,,,,2,4,3,Đã có sổ,Có nội thất,,,,10/18/2023,,,,Đào Tông Nguyên,Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,2.09
"Nhà ngõ, hẻm",42,,,,1,2,2,Đã có sổ,Có nội thất,,,,10/18/2023,,,,Đường Mai Xuân Thưởng,Phường 6,Quận 6,TP Hồ Chí Minh,1.925
"Nhà ngõ, hẻm",44.4,,,,1,2,2,Đã có sổ,,Đông Nam,,,09/29/2023,,,,lạc long quân,Phường 8,Tân Bình,TP Hồ Chí Minh,2.69
"Nhà ngõ, hẻm",63,4.5,,,4,3,4,Đã có sổ,,,,,09/23/2023,,,,Nguyễn Thiện Thuật,Phường 2,Quận 3,TP Hồ Chí Minh,4.15
"Nhà ngõ, hẻm",122,,,,,3,3,Đã có sổ,Có nội thất,Tây Nam,,,09/28/2023,,,,Bắc Hải,Phường 15,Quận 10,TP Hồ Chí Minh,5.8
"Nhà ngõ, hẻm",55,7,,,2,6,3,,,Đông Bắc,,,09/28/2023,,,,"166/22A/15, Đường Hồ Bá Kiện",Phường 15,Quận 10,TP Hồ Chí Minh,3.95
Nhà mặt phố,160,,,,4,6,6,Đã có sổ,,Đông Nam,,,10/15/2023,,,,KDC Nam Hùng Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,16
"Nhà ngõ, hẻm",78,,,,,4,,,,,,,09/29/2023,,,,Số 11,Phường Trường Thọ,TP Thủ Đức,TP Hồ Chí Minh,6.15
"Nhà ngõ, hẻm",60,,,,2,3,3,Đã có sổ,Không có nội thất,,,,10/07/2023,,,,Dương Quảng Hàm,Phường 5,Gò Vấp,TP Hồ Chí Minh,3.49
"Nhà ngõ, hẻm",157,,,,,2,,,,,,,10/20/2023,,,,Nguyễn Thị Lắng,Xã Tân Phú Trung,Củ Chi,TP Hồ Chí Minh,0.78
"Nhà ngõ, hẻm",64,5,13,,1,2,,Đã có sổ,,,,,10/23/2023,,,,Đường Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,TP Hồ Chí Minh,1.7
"Nhà ngõ, hẻm",19,,,,1,1,1,Đã có sổ,Có nội thất,,,,11/02/2023,,,,Đường Kha Vạn Cân,Phường Linh Chiểu,TP Thủ Đức,TP Hồ Chí Minh,1.8
"Nhà ngõ, hẻm",70,,,,3,4,5,Đã có sổ,Có nội thất,,,,11/05/2023,,,,Nguyễn Thị Kiểu,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,4.1
Nhà mặt phố,77,,,,4,4,5,Đã có sổ,Có nội thất,,,,10/24/2023,,,,cầu xéo,Phường Tân Sơn Nhì,Tân Phú,TP Hồ Chí Minh,10.4
"Nhà ngõ, hẻm",60,4,15,,,2,1,Đã có sổ,,,,,10/23/2023,,,,Đoàn Nguyễn Tuấn,Xã Bình Chánh,Bình Chánh,TP Hồ Chí Minh,0.75
"Nhà ngõ, hẻm",50.6,5.5,,,2,3,,Đã có sổ,Có nội thất,,,,10/23/2023,,,,Đường An Bình,Phường 6,Quận 5,TP Hồ Chí Minh,3.38
Nhà mặt phố,78,,,,2,3,2,Đã có sổ,,Đông Bắc,,,09/29/2023,,,,Đường Lê Lợi,Xã Tân Thới Nhì,Hóc Môn,TP Hồ Chí Minh,5.79
"Nhà ngõ, hẻm",50,5,,,1,2,2,,,Đông Nam,,,09/29/2023,,,,Đường Lê Văn Quới,Phường Bình Trị Đông,Bình Tân,TP Hồ Chí Minh,2.5
Nhà mặt phố,105,4,,,,3,1,Đã có sổ,,Đông Bắc,,,09/23/2023,,,,"1685, Đường Trần Văn Giàu",Xã Lê Minh Xuân,Bình Chánh,TP Hồ Chí Minh,6
"Nhà ngõ, hẻm",65,,,,4,4,5,Đã có sổ,Có nội thất,,,,10/15/2023,,,,Thoại Ngọc Hầu,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,5.9
Nhà biệt thự,238,8,24,,,7,6,Đã có sổ,,,,,09/29/2023,,,,Nguyễn Văn Linh,Phường Bình Thuận,Quận 7,TP Hồ Chí Minh,17.8
Nhà mặt phố,28,,,,2,2,2,Đã có sổ,,Đông,,,09/25/2023,,,,Đường Tân Thới Nhất 12,Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,3.98
Nhà mặt phố,63,4.5,,,1,2,1,Đã có sổ,,,,,10/07/2023,,,,Đường An Phú Tây - Hưng Long,Xã An Phú Tây,Bình Chánh,TP Hồ Chí Minh,0.73
Nhà mặt phố,25,,,,2,2,2,Đã có sổ,,Tây,,,10/07/2023,,,,Đường Hậu Giang,Phường 12,Quận 6,TP Hồ Chí Minh,2.32
"Nhà ngõ, hẻm",91,9,10,,,8,4,Đã có sổ,,,,,10/23/2023,,,,Cách Mạng Tháng Tám,Phường 15,Quận 10,TP Hồ Chí Minh,8.5
"Nhà ngõ, hẻm",60,3.9,,,2,4,3,,Có nội thất,,,,11/02/2023,,,,Nguyễn Thị Nhỏ,Phường 9,Tân Bình,TP Hồ Chí Minh,3.65
Nhà mặt phố,39,,,,1,2,2,Đã có sổ,,Tây Nam,,,09/29/2023,,,,Nguyễn Bình,Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,3.6
Nhà mặt phố,48,3.2,9,,,2,2,,,,,,09/29/2023,,,,Thạnh Xuân 38,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,0.895
"Nhà ngõ, hẻm",33,,,,2,2,2,,,,,,10/27/2023,,,,Hậu Giang,Phường 11,Quận 6,TP Hồ Chí Minh,3.35
"Nhà ngõ, hẻm",89.7,4.6,,,1,1,1,Đã có sổ,,,,,10/18/2023,,,,Phú Thọ Hoà,Phường Phú Thọ Hòa,Tân Phú,TP Hồ Chí Minh,5.3
